timestamp,latitudine,longitudine,PM10 (ug/m3)
1645698629,45.057247,7.680815,41.991589
1645698641,45.057732,7.680905,41.991589
1645699028,45.057453,7.680724,34.961433
1645699028,45.057453,7.680724,39.352612
1645699043,45.057739,7.680924,39.352612
1645699157,45.057625,7.681283,44.354134
1645699157,45.057625,7.681283,40.112885
1645699210,45.057735,7.680924,40.112885
1645699210,45.057735,7.680924,40.977371
1645699950,45.057854,7.680072,47.252705
1645699950,45.057854,7.680072,42.575443
1645699963,45.057739,7.680911,42.575443
1645703612,45.057747,7.680944,16.789688
1645703612,45.057747,7.680944,13.505700
1645703961,45.057747,7.680941,52.645256
1645703961,45.057747,7.680941,27.133270
1645703961,45.057747,7.680941,13.225159
1645707269,45.057724,7.680932,30.947489
1645707276,45.057610,7.681335,30.947489
1645707276,45.057610,7.681335,5.239765
1645707309,45.056896,7.683182,5.239765
1645707342,45.057812,7.684674,5.239765
1645707342,45.057812,7.684674,4.455415
1645707373,45.059441,7.685766,4.455415
1645707387,45.059772,7.686043,4.455415
1645707468,45.060406,7.686506,18.952898
1645707468,45.060406,7.686506,28.789858
1645707501,45.061592,7.687378,28.789858
1645707532,45.062717,7.687079,28.789858
1645707532,45.062717,7.687079,23.036823
1645707564,45.064842,7.686519,23.036823
1645707572,45.064487,7.687344,23.036823
1645707596,45.064934,7.687887,23.036823
1645707596,45.064934,7.687887,9.727940
1645707625,45.065620,7.688313,9.727940
1645707658,45.066933,7.689352,9.727940
1645707658,45.066933,7.689352,5.098034
1645707689,45.067669,7.689975,5.098034
1645707721,45.068111,7.690152,5.098034
1645707721,45.068111,7.690152,3.441423
1645707782,45.069344,7.690994,3.441423
1645707782,45.069344,7.690994,17.600353
1645707813,45.070488,7.691896,17.600353
1645707818,45.070831,7.692074,6.766734
1645707844,45.071396,7.692979,6.766734
1645707866,45.071312,7.692536,6.766734
1645707937,45.071548,7.692772,2.776973
1645707937,45.071548,7.692772,2.000000
1645708003,45.071053,7.692410,2.000000
1645708003,45.071053,7.692410,2.000000
1645708035,45.071484,7.692522,2.000000
1645708101,45.071121,7.692397,2.000000
1645708101,45.071121,7.692397,2.000000
1645708133,45.070908,7.693382,2.000000
1645708133,45.070908,7.693382,2.000000
1645708165,45.069695,7.694412,2.000000
1645708195,45.069176,7.695350,2.000000
1645708195,45.069176,7.695350,20.589611
1645708203,45.068771,7.695845,20.589611
1645708226,45.068054,7.696021,20.589611
1645708257,45.067089,7.697293,20.589611
1645708257,45.067089,7.697293,8.930221
1645708292,45.066265,7.698008,8.930221
